Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT1ZGH4ypt5Fa67CHCI9tpzs,Interest,NEXO,4.38783243,NEXO,4.38783243,$4.32,-,-,"approved / 2.114082 XRP",2025-12-11 06:00:00
NXT5MB7sr7RDeMBqWzdPWzIGH,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-11 00:00:00
NXT4xM3Ikg0hTxPwEy1G35StP,Interest,NEXO,0.69545221,NEXO,0.69545221,$0.68,-,-,"approved / NEXO Interest Earned",2025-12-10 06:00:00
NXT1deuFbdPgZTjLAUWu1c7lX,Interest,NEXO,4.52734324,NEXO,4.52734324,$4.45,-,-,"approved / 2.114082 XRP",2025-12-10 06:00:00
NXT6IOU4j4ZNezcDv8Fd9IVL5,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-10 00:00:00
NXT7DRe8a8GI33P7AOpotq0gE,Interest,NEXO,4.49704051,NEXO,4.49704051,$4.38,-,-,"approved / 2.114082 XRP",2025-12-09 06:00:00
NXT5AMorFlkQeUKeytAjFtzOg,Interest,NEXO,0.69503173,NEXO,0.69503173,$0.68,-,-,"approved / NEXO Interest Earned",2025-12-09 06:00:00
NXT6NrEIcxKhda9WGITgPHDAd,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-09 00:00:00
NXT3y43fssrrCyk5LFA5DCILz,Interest,NEXO,4.40584178,NEXO,4.40584178,$4.32,-,-,"approved / 2.114082 XRP",2025-12-08 06:00:00
NXT1yjFFyFiWSMNdIB71cIDXw,Interest,NEXO,0.69461866,NEXO,0.69461866,$0.68,-,-,"approved / NEXO Interest Earned",2025-12-08 06:00:00
NXT4VuyORvYpSd57WyHRh4Uyq,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-08 00:00:00
NXT35MpcF25aMqI8VgIXAU0ne,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-08 00:00:00
NXT4SzGdSifLVZfDSEOPaEk7V,Interest,NEXO,0.69420967,NEXO,0.69420967,$0.68,-,-,"approved / NEXO Interest Earned",2025-12-07 06:00:00
NXT2Qz1BiU3CYXIvutTigp333,Interest,NEXO,4.35593887,NEXO,4.35593887,$4.29,-,-,"approved / 2.114082 XRP",2025-12-07 06:00:00
NXT5aABsfSJ6wxxKCgUdGgppk,Interest,NEXO,4.48680098,NEXO,4.48680098,$4.30,-,-,"approved / 2.114082 XRP",2025-12-06 06:00:00
NXT39gxS17YqQsE6GwuXQx0eC,Interest,NEXO,0.69379011,NEXO,0.69379011,$0.67,-,-,"approved / NEXO Interest Earned",2025-12-06 06:00:00
NXT6EYxVbwSknxD8o5Okc6OvE,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-06 00:00:00
NXT2o8pVVgcggMYtkjTGmSElg,Interest,NEXO,4.54678984,NEXO,4.54678984,$4.43,-,-,"approved / 2.114082 XRP",2025-12-05 06:00:00
NXTlDp3iPtFCvv810OZLpyfX,Interest,NEXO,0.69336573,NEXO,0.69336573,$0.68,-,-,"approved / NEXO Interest Earned",2025-12-05 06:00:00
NXTm7tMbRF5EIcVS8G0vxKpX,Interest,xUSD,-0.52000000,xUSD,0.52000000,$0.52,-,-,"approved / Interest",2025-12-05 00:00:00
NXT5p0iBdCcpEqC1DenJpnX9D,Interest,NEXO,4.66621416,NEXO,4.66621416,$4.65,-,-,"approved / 2.114082 XRP",2025-12-04 06:00:00
NXT1W8AZ4EK4uMcPTPhjdyF4I,Interest,NEXO,0.69293172,NEXO,0.69293172,$0.69,-,-,"approved / NEXO Interest Earned",2025-12-04 06:00:00
